Date,Merchant,Description,Category,Amount,Payment Mode,Transaction Type,Is Subscription
2025-03-01,ABC Technologies,Salary Credit,Salary,85000,Bank Transfer,Credit,No
2025-03-01,BookMyShow,Entertainment Expense,Entertainment,859,Net Banking,Debit,No
2025-03-01,Swiggy,Food Expense,Food,636,Card,Debit,No
2025-03-01,Airtel,Bills Expense,Bills,747,Net Banking,Debit,No
2025-03-02,McDonald's,Food Expense,Food,483,UPI,Debit,No
2025-03-02,BookMyShow,Entertainment Expense,Entertainment,218,Card,Debit,No
2025-03-02,BookMyShow,Entertainment Expense,Entertainment,700,UPI,Debit,No
2025-03-03,House Rent,Monthly Rent,Rent,15000,Bank Transfer,Debit,No
2025-03-03,Uber,Transport Expense,Transport,828,UPI,Debit,No
2025-03-03,Indian Oil,Transport Expense,Transport,189,Net Banking,Debit,No
2025-03-03,Ola,Transport Expense,Transport,224,Card,Debit,No
2025-03-04,Airtel,Bills Expense,Bills,213,Net Banking,Debit,No
2025-03-04,Starbucks,Food Expense,Food,578,Card,Debit,No
2025-03-04,McDonald's,Food Expense,Food,870,Card,Debit,No
2025-03-04,MSEB,Bills Expense,Bills,-7254,UPI,Debit,No
2025-03-05,Indian Oil,Transport Expense,Transport,739,Card,Debit,No
2025-03-06,HDFC Bank,Home Loan EMI,EMI,8000,Auto Debit,Debit,No
2025-03-06,Indian Oil,Transport Expense,Transport,436,Card,Debit,No
2025-03-06,Zomato,Food Expense,Food,424,Card,Debit,No
2025-03-06,Amazon,Shopping Expense,Shopping,462,Net Banking,Debit,No
2025-03-07,Myntra,Shopping Expense,Shopping,794,Net Banking,Debit,No
2025-03-07,Ola,Transport Expense,Transport,600,Net Banking,Debit,No
2025-03-07,MSEB,Bills Expense,Bills,171,Net Banking,Debit,No
2025-03-07,BookMyShow,Entertainment Expense,Entertainment,303,Card,Debit,No
2025-03-07,MSEB,Bills Expense,Bills,460,Net Banking,Debit,No
2025-03-08,Zomato,Food Expense,Food,160,UPI,Debit,No
2025-03-08,Indian Oil,Transport Expense,Transport,775,Card,Debit,No
2025-03-08,Airtel,Bills Expense,Bills,441,UPI,Debit,No
2025-03-08,Ola,Transport Expense,Transport,760,UPI,Debit,No
2025-03-08,Starbucks,Food Expense,Food,529,UPI,Debit,No
2025-03-08,Swiggy,Food Expense,Food,696,Card,Debit,No
2025-03-08,BookMyShow,Entertainment Expense,Entertainment,234,UPI,Debit,No
2025-03-08,MSEB,Bills Expense,Bills,610,UPI,Debit,No
2025-03-09,BookMyShow,Entertainment Expense,Entertainment,578,UPI,Debit,No
